DIP    1      1   -0.754307E-03   -0.282365E-03    0.330482E-03
DIP    1      2   -0.754344E-03    0.138235E-01    0.330503E-03
DIP    1      3   -0.754568E-03    0.271957E-01    0.330605E-03
DIP    1      4   -0.754946E-03    0.394277E-01    0.330793E-03
DIP    1      5   -0.755261E-03    0.506081E-01    0.330947E-03
DIP    1      6   -0.755332E-03    0.612112E-01    0.330963E-03
DIP    1      7   -0.755123E-03    0.717886E-01    0.330822E-03
DIP    1      8   -0.754765E-03    0.826349E-01    0.330598E-03
DIP    1      9   -0.754486E-03    0.936144E-01    0.330414E-03
DIP    1     10   -0.754471E-03    0.104239E+00    0.330369E-03
DIP    1     11   -0.754759E-03    0.113943E+00    0.330478E-03
DIP    1     12   -0.755212E-03    0.122397E+00    0.330662E-03
DIP    1     13   -0.755600E-03    0.129679E+00    0.330795E-03
DIP    1     14   -0.755730E-03    0.136216E+00    0.330780E-03
DIP    1     15   -0.755560E-03    0.142522E+00    0.330608E-03
DIP    1     16   -0.755221E-03    0.148910E+00    0.330361E-03
DIP    1     17   -0.754938E-03    0.155318E+00    0.330165E-03
DIP    1     18   -0.754902E-03    0.161359E+00    0.330114E-03
DIP    1     19   -0.755161E-03    0.166553E+00    0.330215E-03
DIP    1     20   -0.755596E-03    0.170609E+00    0.330385E-03
DIP    1     21   -0.755996E-03    0.173583E+00    0.330500E-03
DIP    1     22   -0.756181E-03    0.175842E+00    0.330473E-03
DIP    1     23   -0.756108E-03    0.177850E+00    0.330304E-03
DIP    1     24   -0.755885E-03    0.179903E+00    0.330076E-03
DIP    1     25   -0.755704E-03    0.181976E+00    0.329910E-03
DIP    1     26   -0.755727E-03    0.183752E+00    0.329889E-03
DIP    1     27   -0.755984E-03    0.184824E+00    0.330008E-03
DIP    1     28   -0.756366E-03    0.184930E+00    0.330182E-03
DIP    1     29   -0.756689E-03    0.184110E+00    0.330294E-03
DIP    1     30   -0.756811E-03    0.182679E+00    0.330268E-03
DIP    1     31   -0.756709E-03    0.181042E+00    0.330112E-03
DIP    1     32   -0.756498E-03    0.179478E+00    0.329914E-03
DIP    1     33   -0.756356E-03    0.177987E+00    0.329789E-03
DIP    1     34   -0.756420E-03    0.176317E+00    0.329809E-03
DIP    1     35   -0.756704E-03    0.174122E+00    0.329963E-03
DIP    1     36   -0.757098E-03    0.171171E+00    0.330162E-03
DIP    1     37   -0.757428E-03    0.167479E+00    0.330294E-03
DIP    1     38   -0.757565E-03    0.163301E+00    0.330288E-03
DIP    1     39   -0.757494E-03    0.158982E+00    0.330156E-03
DIP    1     40   -0.757319E-03    0.154772E+00    0.329984E-03
DIP    1     41   -0.757200E-03    0.150703E+00    0.329881E-03
DIP    1     42   -0.757254E-03    0.146596E+00    0.329914E-03
DIP    1     43   -0.757493E-03    0.142185E+00    0.330069E-03
DIP    1     44   -0.757822E-03    0.137282E+00    0.330266E-03
DIP    1     45   -0.758098E-03    0.131894E+00    0.330400E-03
DIP    1     46   -0.758217E-03    0.126217E+00    0.330412E-03
DIP    1     47   -0.758171E-03    0.120525E+00    0.330313E-03
DIP    1     48   -0.758048E-03    0.115023E+00    0.330183E-03
DIP    1     49   -0.757972E-03    0.109749E+00    0.330115E-03
DIP    1     50   -0.758028E-03    0.104577E+00    0.330164E-03
DIP    1     51   -0.758217E-03    0.993074E-01    0.330318E-03
DIP    1     52   -0.758455E-03    0.937984E-01    0.330504E-03
DIP    1     53   -0.758640E-03    0.880509E-01    0.330633E-03
DIP    1     54   -0.758707E-03    0.822081E-01    0.330658E-03
DIP    1     55   -0.758674E-03    0.764729E-01    0.330594E-03
DIP    1     56   -0.758623E-03    0.709976E-01    0.330511E-03
DIP    1     57   -0.758648E-03    0.658101E-01    0.330488E-03
DIP    1     58   -0.758794E-03    0.608151E-01    0.330565E-03
DIP    1     59   -0.759029E-03    0.558645E-01    0.330724E-03
DIP    1     60   -0.759271E-03    0.508526E-01    0.330896E-03
DIP    1     61   -0.759433E-03    0.457783E-01    0.331010E-03
DIP    1     62   -0.759489E-03    0.407428E-01    0.331030E-03
DIP    1     63   -0.759484E-03    0.358891E-01    0.330976E-03
DIP    1     64   -0.759515E-03    0.313215E-01    0.330910E-03
DIP    1     65   -0.759665E-03    0.270539E-01    0.330897E-03
DIP    1     66   -0.759960E-03    0.230129E-01    0.330967E-03
DIP    1     67   -0.760344E-03    0.190901E-01    0.331100E-03
DIP    1     68   -0.760716E-03    0.152093E-01    0.331236E-03
DIP    1     69   -0.760986E-03    0.113695E-01    0.331319E-03
DIP    1     70   -0.761125E-03    0.764008E-02    0.331326E-03
DIP    1     71   -0.761181E-03    0.411605E-02    0.331280E-03
DIP    1     72   -0.761244E-03    0.862433E-03    0.331238E-03
DIP    1     73   -0.761399E-03   -0.211959E-02    0.331253E-03
DIP    1     74   -0.761670E-03   -0.488672E-02    0.331345E-03
DIP    1     75   -0.762009E-03   -0.751499E-02    0.331492E-03
DIP    1     76   -0.762331E-03   -0.100537E-01    0.331639E-03
DIP    1     77   -0.762559E-03   -0.124998E-01    0.331738E-03
DIP    1     78   -0.762673E-03   -0.148047E-01    0.331767E-03
DIP    1     79   -0.762719E-03   -0.169086E-01    0.331747E-03
DIP    1     80   -0.762782E-03   -0.187773E-01    0.331725E-03
DIP    1     81   -0.762935E-03   -0.204216E-01    0.331745E-03
DIP    1     82   -0.763202E-03   -0.218878E-01    0.331828E-03
DIP    1     83   -0.763545E-03   -0.232282E-01    0.331957E-03
DIP    1     84   -0.763890E-03   -0.244704E-01    0.332094E-03
