     1	4.63 5.37
     2	4.63 5.37
     3	4.63 5.37
     4	4.63 5.37
     5	4.63 5.37
     6	4.63 5.37
     7	4.63 5.37
     8	4.63 5.37
     9	4.63 5.37
    10	4.63 5.37
    11	4.63 5.37
    12	4.63 5.37
    13	4.63 5.37
    14	4.63 5.37
    15	4.63 5.37
    16	4.63 5.37
    17	4.63 5.37
    18	4.63 5.37
    19	4.63 5.37
    20	4.63 5.37
    21	4.63 5.37
    22	4.63 5.37
    23	4.63 5.37
    24	4.63 5.37
    25	4.63 5.37
    26	4.63 5.37
    27	4.63 5.37
    28	4.63 5.37
    29	4.63 5.37
    30	4.63 5.37
    31	4.63 5.37
    32	4.63 5.37
    33	4.63 5.37
    34	4.63 5.37
    35	4.63 5.37
    36	4.63 5.37
    37	4.63 5.37
    38	4.63 5.37
    39	4.63 5.37
    40	4.63 5.37
    41	4.63 5.37
    42	4.63 5.37
    43	4.63 5.37
    44	4.63 5.37
    45	4.63 5.37
    46	4.63 5.37
    47	4.63 5.37
    48	4.63 5.37
    49	4.63 5.37
    50	4.63 5.37
    51	4.63 5.37
    52	4.63 5.37
    53	4.63 5.37
    54	4.63 5.37
    55	4.63 5.37
    56	4.63 5.37
    57	4.63 5.37
    58	4.63 5.37
    59	4.63 5.37
    60	4.63 5.37
    61	4.63 5.37
    62	4.63 5.37
    63	4.63 5.37
    64	4.63 5.37
    65	4.63 5.37
    66	4.63 5.37
    67	4.63 5.37
    68	4.63 5.37001
    69	4.63 5.37001
    70	4.63 5.37001
    71	4.63 5.37001
    72	4.63 5.37001
    73	4.63 5.37001
    74	4.62999 5.37001
    75	4.62999 5.37001
    76	4.62999 5.37001
    77	4.62999 5.37001
    78	4.62999 5.37001
    79	4.62999 5.37001
    80	4.62999 5.37001
    81	4.62999 5.37001
    82	4.62999 5.37001
    83	4.62999 5.37001
    84	4.62999 5.37001
    85	4.62999 5.37001
    86	4.62999 5.37001
    87	4.62999 5.37001
    88	4.62999 5.37001
    89	4.62999 5.37001
    90	4.62999 5.37001
    91	4.62999 5.37001
    92	4.62999 5.37001
    93	4.62999 5.37001
    94	4.62999 5.37001
    95	4.62999 5.37001
    96	4.62999 5.37001
    97	4.62999 5.37001
    98	4.62999 5.37001
    99	4.62999 5.37001
   100	4.62999 5.37001
   101	4.62999 5.37001
   102	4.62999 5.37001
   103	4.62999 5.37001
   104	4.62999 5.37001
   105	4.62999 5.37001
   106	4.62999 5.37001
   107	4.62999 5.37001
   108	4.62999 5.37001
   109	4.62999 5.37001
   110	4.62999 5.37001
   111	4.62999 5.37001
   112	4.62999 5.37001
   113	4.62999 5.37001
   114	4.62999 5.37001
   115	4.62999 5.37001
   116	4.62999 5.37001
   117	4.62999 5.37001
   118	4.62999 5.37001
   119	4.62999 5.37001
   120	4.62999 5.37001
   121	4.62999 5.37001
   122	4.62999 5.37002
   123	4.62999 5.37002
   124	4.62999 5.37002
   125	4.62998 5.37002
   126	4.62998 5.37002
   127	4.62998 5.37002
   128	4.62998 5.37002
   129	4.62998 5.37002
   130	4.62998 5.37002
   131	4.62998 5.37002
   132	4.62998 5.37002
   133	4.62998 5.37002
   134	4.62998 5.37002
   135	4.62998 5.37002
   136	4.62998 5.37002
   137	4.62998 5.37002
   138	4.62998 5.37002
   139	4.62998 5.37002
   140	4.62998 5.37002
   141	4.62998 5.37002
   142	4.62998 5.37002
   143	4.62998 5.37002
   144	4.62998 5.37002
   145	4.62998 5.37002
   146	4.62998 5.37002
   147	4.62998 5.37002
   148	4.62998 5.37002
   149	4.62998 5.37002
   150	4.62998 5.37002
   151	4.62998 5.37002
   152	4.62998 5.37002
   153	4.62998 5.37002
   154	4.62998 5.37002
   155	4.62998 5.37002
   156	4.62998 5.37002
   157	4.62998 5.37002
   158	4.62998 5.37003
   159	4.62998 5.37003
   160	4.62997 5.37003
   161	4.62997 5.37003
   162	4.62997 5.37003
   163	4.62997 5.37003
   164	4.62997 5.37003
   165	4.62997 5.37003
   166	4.62997 5.37003
   167	4.62997 5.37003
   168	4.62997 5.37003
   169	4.62997 5.37003
   170	4.62997 5.37003
   171	4.62997 5.37003
   172	4.62997 5.37003
   173	4.62997 5.37003
   174	4.62997 5.37003
   175	4.62997 5.37003
   176	4.62997 5.37003
   177	4.62997 5.37003
   178	4.62997 5.37003
   179	4.62997 5.37003
   180	4.62997 5.37003
   181	4.62997 5.37003
   182	4.62997 5.37003
   183	4.62997 5.37003
   184	4.62997 5.37003
   185	4.62997 5.37003
   186	4.62997 5.37003
   187	4.62997 5.37004
   188	4.62997 5.37004
   189	4.62996 5.37004
   190	4.62996 5.37004
   191	4.62996 5.37004
   192	4.62996 5.37004
   193	4.62996 5.37004
   194	4.62996 5.37004
   195	4.62996 5.37004
   196	4.62996 5.37004
   197	4.62996 5.37004
   198	4.62996 5.37004
   199	4.62996 5.37004
   200	4.62996 5.37004
   201	4.62996 5.37004
   202	4.62996 5.37004
